token,ind_no,focus_condition,diortri,sandhi_tone,syntax_iniTone,sandhi_tone_var
小黄瓜,S8_1_1,1,tri,,1+2MH_HTs,
造纸厂,S8_6_2,2,tri,,2+1VL_LT,
水牛毛,S8_25_tri,tri,tri,,2+1LL_HTs,
小黄瓜,S8_1_di_3,di_3,tri,,1+2MH_HTs,
造纸厂,S8_6_di_3,di_3,tri,,2+1VL_LT,
青椒皮,S8_44_1,1,tri,,2+1LL_HTp,
采樱桃,S8_40_1,1,tri,,1+2VO_HTs,
新书房,S8_19_3,3,tri,,1+2MH_HTp,
买花人,S8_22_2,2,tri,,2+1VL_LT,
新皮袄,S8_5_tri,tri,tri,,1+2MH_HTp,
樱桃皮,S8_23_2,2,tri,,2+1LL_HTp,
修门工,S8_7_1,1,tri,,2+1VL_HTp,
老樱桃,S8_13_tri,tri,tri,,1+2MH_LT,
开门人,S8_21_3,3,tri,,2+1VL_HTp,
修车工,S8_36_1,1,tri,,2+1VL_HTp,
修车工,S8_36_tri,tri,tri,,2+1VL_HTp,
老青椒,S8_2_2,2,tri,,1+2MH_LT,
买樱桃,S8_24_di_3,di_3,tri,,1+2VO_LT,
买花人,S8_22_3,3,tri,,2+1VL_LT,
开锁人,S8_43_3,3,tri,,2+1VL_HTp,
杨梅籽,S8_30_di_3,di_3,tri,,2+1LL_LT,
青椒皮,S8_44_di_3,di_3,tri,,2+1LL_HTp,
水牛毛,S8_25_3,3,tri,,2+1LL_HTs,
开门人,S8_21_1,1,tri,,2+1VL_HTp,
小水牛,S8_39_3,3,tri,,1+2MH_HTs,
新书房,S8_19_tri,tri,tri,,1+2MH_HTp,
樱桃皮,S8_23_di_3,di_3,tri,,2+1LL_HTp,
杨梅籽,S8_30_2,2,tri,,2+1LL_LT,
新手链,S8_27_2,2,tri,,1+2MH_HTp,
青椒籽,S8_38_2,2,tri,,2+1LL_HTp,
苦瓜籽,S8_17_di_3,di_3,tri,,2+1LL_HTs,
老杨梅,S8_8_di_3,di_3,tri,,1+2MH_LT,
开门人,S8_21_di_3,di_3,tri,,2+1VL_HTp,
杨桃皮,S8_26_di_3,di_3,tri,,2+1LL_LT,
采梅花,S8_3_3,3,tri,,1+2VO_HTs,
老樱桃,S8_13_2,2,tri,,1+2MH_LT,
杨桃皮,S8_26_1,1,tri,,2+1LL_LT,
小杨梅,S8_12_2,2,tri,,1+2MH_HTs,
买青椒,S8_4_tri,tri,tri,,1+2VO_LT,
老樱桃,S8_13_3,3,tri,,1+2MH_LT,
采樱花,S8_33_di_3,di_3,tri,,1+2VO_HTs,
杨梅籽,S8_30_1,1,tri,,2+1LL_LT,
黄瓜皮,S8_20_di_3,di_3,tri,,2+1LL_LT,
开锁人,S8_43_di_3,di_3,tri,,2+1VL_HTp,
老黄瓜,S8_16_2,2,tri,,1+2MH_LT,
草莓籽,S8_10_2,2,tri,,2+1LL_HTs,
老青椒,S8_2_1,1,tri,,1+2MH_LT,
采樱花,S8_33_2,2,tri,,1+2VO_HTs,
老黄瓜,S8_16_1,1,tri,,1+2MH_LT,
采杨梅,S8_15_di_3,di_3,tri,,1+2VO_HTs,
小杨梅,S8_12_3,3,tri,,1+2MH_HTs,
黄瓜皮,S8_20_2,2,tri,,2+1LL_LT,
修门工,S8_7_di_3,di_3,tri,,2+1VL_HTp,
杨梅籽,S8_30_3,3,tri,,2+1LL_LT,
黄瓜皮,S8_20_3,3,tri,,2+1LL_LT,
樱桃籽,S8_9_3,3,tri,,2+1LL_HTp,
造纸厂,S8_6_tri,tri,tri,,2+1VL_LT,
樱桃皮,S8_23_tri,tri,tri,,2+1LL_HTp,
新书包,S8_42_3,3,tri,,1+2MH_HTp,
樱桃籽,S8_9_tri,tri,tri,,2+1LL_HTp,
老杨梅,S8_8_1,1,tri,,1+2MH_LT,
杨梅籽,S8_30_tri,tri,tri,,2+1LL_LT,
小杨梅,S8_12_tri,tri,tri,,1+2MH_HTs,
新手机,S8_35_tri,tri,tri,,1+2MH_HTp,
新手机,S8_35_2,2,tri,,1+2MH_HTp,
新皮袄,S8_5_2,2,tri,,1+2MH_HTp,
买茶人,S8_41_di_3,di_3,tri,,2+1VL_LT,
苦瓜籽,S8_17_tri,tri,tri,,2+1LL_HTs,
采梅花,S8_3_tri,tri,tri,,1+2VO_HTs,
老青椒,S8_2_di_3,di_3,tri,,1+2MH_LT,
青椒籽,S8_38_1,1,tri,,2+1LL_HTp,
造船厂,S8_28_tri,tri,tri,,2+1VL_LT,
小樱桃,S8_37_3,3,tri,,1+2MH_HTs,
小黄瓜,S8_1_3,3,tri,,1+2MH_HTs,
黄瓜籽,S8_11_di_3,di_3,tri,,2+1LL_LT,
采杨梅,S8_15_1,1,tri,,1+2VO_HTs,
买黄瓜,S8_18_di_3,di_3,tri,,1+2VO_LT,
新书房,S8_19_di_3,di_3,tri,,1+2MH_HTp,
苦瓜籽,S8_17_3,3,tri,,2+1LL_HTs,
老杨梅,S8_8_tri,tri,tri,,1+2MH_LT,
小杨梅,S8_12_1,1,tri,,1+2MH_HTs,
樱桃籽,S8_9_2,2,tri,,2+1LL_HTp,
小樱桃,S8_37_tri,tri,tri,,1+2MH_HTs,
新手机,S8_35_di_3,di_3,tri,,1+2MH_HTp,
买青椒,S8_4_di_3,di_3,tri,,1+2VO_LT,
买茶人,S8_41_3,3,tri,,2+1VL_LT,
草莓籽,S8_10_1,1,tri,,2+1LL_HTs,
黄瓜籽,S8_11_2,2,tri,,2+1LL_LT,
开门人,S8_21_tri,tri,tri,,2+1VL_HTp,
新书房,S8_19_2,2,tri,,1+2MH_HTp,
采樱花,S8_33_tri,tri,tri,,1+2VO_HTs,
黄瓜籽,S8_11_tri,tri,tri,,2+1LL_LT,
苦瓜皮,S8_31_3,3,tri,,2+1LL_HTs,
黄瓜皮,S8_20_tri,tri,tri,,2+1LL_LT,
采梅花,S8_3_di_3,di_3,tri,,1+2VO_HTs,
小苦瓜,S8_34_1,1,tri,,1+2MH_HTs,
新书房,S8_19_1,1,tri,,1+2MH_HTp,
开锁人,S8_43_1,1,tri,,2+1VL_HTp,
苦瓜籽,S8_17_2,2,tri,,2+1LL_HTs,
新手链,S8_27_di_3,di_3,tri,,1+2MH_HTp,
采梅花,S8_3_1,1,tri,,1+2VO_HTs,
老杨梅,S8_8_3,3,tri,,1+2MH_LT,
小苦瓜,S8_34_2,2,tri,,1+2MH_HTs,
采杨梅,S8_15_3,3,tri,,1+2VO_HTs,
水牛毛,S8_25_2,2,tri,,2+1LL_HTs,
新皮鞋,S8_14_1,1,tri,,1+2MH_HTp,
买黄瓜,S8_18_1,1,tri,,1+2VO_LT,
新手链,S8_27_tri,tri,tri,,1+2MH_HTp,
小苦瓜,S8_34_di_3,di_3,tri,,1+2MH_HTs,
修门工,S8_7_tri,tri,tri,,2+1VL_HTp,
杨桃皮,S8_26_2,2,tri,,2+1LL_LT,
小水牛,S8_39_di_3,di_3,tri,,1+2MH_HTs,
买樱桃,S8_24_1,1,tri,,1+2VO_LT,
买杨梅,S8_32_1,1,tri,,1+2VO_LT,
