token,ind_no,focus_condition,diortri,sandhi_tone,syntax_iniTone,sandhi_tone_var
新皮鞋,S5_14_tri,tri,tri,,1+2MH_HTp,
樱桃籽,S5_9_1,1,tri,,2+1LL_HTp,
修门工,S5_7_2,2,tri,,2+1VL_HTp,
买黄瓜,S5_18_tri,tri,tri,,1+2VO_LT,
造纸厂,S5_6_1,1,tri,,2+1VL_LT,
新书包,S5_42_1,1,tri,,1+2MH_HTp,
新皮袄,S5_5_3,3,tri,,1+2MH_HTp,
采樱桃,S5_40_tri,tri,tri,,1+2VO_HTs,
新书包,S5_42_di_3,di_3,tri,,1+2MH_HTp,
青椒籽,S5_38_di_3,di_3,tri,,2+1LL_HTp,
青椒皮,S5_44_3,3,tri,,2+1LL_HTp,
买茶人,S5_41_2,2,tri,,2+1VL_LT,
新书包,S5_42_tri,tri,tri,,1+2MH_HTp,
黄瓜籽,S5_11_1,1,tri,,2+1LL_LT,
新书包,S5_42_2,2,tri,,1+2MH_HTp,
采樱花,S5_33_1,1,tri,,1+2VO_HTs,
买青椒,S5_4_1,1,tri,,1+2VO_LT,
买樱桃,S5_24_tri,tri,tri,,1+2VO_LT,
新手机,S5_35_1,1,tri,,1+2MH_HTp,
青椒籽,S5_38_tri,tri,tri,,2+1LL_HTp,
苦瓜皮,S5_31_di_3,di_3,tri,,2+1LL_HTs,
采杨梅,S5_15_tri,tri,tri,,1+2VO_HTs,
买花人,S5_22_di_3,di_3,tri,,2+1VL_LT,
造纸厂,S5_6_3,3,tri,,2+1VL_LT,
黄瓜皮,S5_20_1,1,tri,,2+1LL_LT,
小黄瓜,S5_1_1,1,tri,,1+2MH_HTs,
造纸厂,S5_6_2,2,tri,,2+1VL_LT,
水牛毛,S5_25_tri,tri,tri,,2+1LL_HTs,
小黄瓜,S5_1_di_3,di_3,tri,,1+2MH_HTs,
造纸厂,S5_6_di_3,di_3,tri,,2+1VL_LT,
青椒皮,S5_44_1,1,tri,,2+1LL_HTp,
采樱桃,S5_40_1,1,tri,,1+2VO_HTs,
新书房,S5_19_3,3,tri,,1+2MH_HTp,
买花人,S5_22_2,2,tri,,2+1VL_LT,
新皮袄,S5_5_tri,tri,tri,,1+2MH_HTp,
樱桃皮,S5_23_2,2,tri,,2+1LL_HTp,
修门工,S5_7_1,1,tri,,2+1VL_HTp,
老樱桃,S5_13_tri,tri,tri,,1+2MH_LT,
开门人,S5_21_3,3,tri,,2+1VL_HTp,
修车工,S5_36_1,1,tri,,2+1VL_HTp,
修车工,S5_36_tri,tri,tri,,2+1VL_HTp,
老青椒,S5_2_2,2,tri,,1+2MH_LT,
买樱桃,S5_24_di_3,di_3,tri,,1+2VO_LT,
买花人,S5_22_3,3,tri,,2+1VL_LT,
开锁人,S5_43_3,3,tri,,2+1VL_HTp,
杨梅籽,S5_30_di_3,di_3,tri,,2+1LL_LT,
青椒皮,S5_44_di_3,di_3,tri,,2+1LL_HTp,
水牛毛,S5_25_3,3,tri,,2+1LL_HTs,
开门人,S5_21_1,1,tri,,2+1VL_HTp,
小水牛,S5_39_3,3,tri,,1+2MH_HTs,
新书房,S5_19_tri,tri,tri,,1+2MH_HTp,
樱桃皮,S5_23_di_3,di_3,tri,,2+1LL_HTp,
杨梅籽,S5_30_2,2,tri,,2+1LL_LT,
新手链,S5_27_2,2,tri,,1+2MH_HTp,
青椒籽,S5_38_2,2,tri,,2+1LL_HTp,
苦瓜籽,S5_17_di_3,di_3,tri,,2+1LL_HTs,
老杨梅,S5_8_di_3,di_3,tri,,1+2MH_LT,
开门人,S5_21_di_3,di_3,tri,,2+1VL_HTp,
杨桃皮,S5_26_di_3,di_3,tri,,2+1LL_LT,
采梅花,S5_3_3,3,tri,,1+2VO_HTs,
老樱桃,S5_13_2,2,tri,,1+2MH_LT,
杨桃皮,S5_26_1,1,tri,,2+1LL_LT,
小杨梅,S5_12_2,2,tri,,1+2MH_HTs,
买青椒,S5_4_tri,tri,tri,,1+2VO_LT,
老樱桃,S5_13_3,3,tri,,1+2MH_LT,
采樱花,S5_33_di_3,di_3,tri,,1+2VO_HTs,
杨梅籽,S5_30_1,1,tri,,2+1LL_LT,
黄瓜皮,S5_20_di_3,di_3,tri,,2+1LL_LT,
开锁人,S5_43_di_3,di_3,tri,,2+1VL_HTp,
老黄瓜,S5_16_2,2,tri,,1+2MH_LT,
草莓籽,S5_10_2,2,tri,,2+1LL_HTs,
老青椒,S5_2_1,1,tri,,1+2MH_LT,
采樱花,S5_33_2,2,tri,,1+2VO_HTs,
老黄瓜,S5_16_1,1,tri,,1+2MH_LT,
采杨梅,S5_15_di_3,di_3,tri,,1+2VO_HTs,
小杨梅,S5_12_3,3,tri,,1+2MH_HTs,
黄瓜皮,S5_20_2,2,tri,,2+1LL_LT,
修门工,S5_7_di_3,di_3,tri,,2+1VL_HTp,
